Handle,Image Src,Image Position
beef-burger,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/beef-burger.jpg,1
beef-kofta,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/beef-kofta.jpg,1
beef-ribs,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/beef-ribs.jpg,1
beef-steak,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/beef-steak.jpg,1
cheddar-burger,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/cheddar-burger.jpg,1
fillet-portion,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/fillet-portion.jpg,1
hawawshi-meat,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/hawawshi-meat.jpg,1
kabab-halla,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/kabab-halla.jpg,1
lamb-leg,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/lamb-leg.jpg,1
lamb-shank-mozza,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/lamb-shank-mozza.jpg,1
lamb-shank-samana,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/lamb-shank-samana.jpg,1
lamb-shoulder,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/lamb-shoulder.jpg,1
marinated-liver,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/marinated-liver.jpg,1
minced-beef,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/minced-beef.jpg,1
oriental-sausage,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/oriental-sausage.jpg,1
rib-eye,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/rib-eye.jpg,1
short-ribs,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/short-ribs.jpg,1
sirloin-cap-sobuco,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/sirloin-cap-sobuco.jpg,1
t-bone,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/t-bone.jpg,1
tomahawk,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/tomahawk.jpg,1
veal-kabab-halla,https://raw.githubusercontent.com/rajeh612000-cyber/Rajeh/claude/miko-foods-ecommerce-01fp8x/product-images/veal-kabab-halla.jpg,1
