# clip	in	out	section	punch	fx	fy	zoom_end
2.49.55.mp4	0.79	7.33	1_hook	1	0.52	0.22	1.15
2.49.56.mp4	0.29	3.67	1_hook	1	0.52	0.22	1.15
2.50.00.mp4	1.54	7.90	2_shoppers	0	0.52	0.22	1.00
2.50.03.mp4	0.61	8.10	2_shoppers	0	0.52	0.22	1.00
2.50.06.mp4	0.62	5.73	2_shoppers	0	0.52	0.22	1.00
2.50.27.mp4	0.62	6.97	3_optimizer	0	0.52	0.22	1.00
2.50.31.mp4	1.44	7.23	3_optimizer	0	0.52	0.22	1.00
2.50.36.mp4	2.20	9.60	4_close	1	0.52	0.22	1.15
2.50.39.mp4	0.79	5.37	4_close	1	0.52	0.22	1.15
2.50.42.mp4	0.90	5.87	4_close	1	0.52	0.22	1.15
